split,deformation_class,n_samples,min,q1,mean,q3,max
Train,none,43,0.0,0.0,0.0,0.0,0.0
Train,rigid,172,0.0,2.507540514096635,10.763580851598872,16.89644284471629,29.421648444010952
Train,affine,214,0.0,0.8228233180073562,12.950058921514376,20.57821758332997,36.85414259592105
Train,elastic,214,0.0,0.8241098559152661,3.1335680926567444,4.903136075811147,9.98311503448729
Train,affine_elastic,214,0.0,1.0120715742841733,13.272049792949483,21.026581291216743,37.351738643181285
Val,none,6,0.0,0.0,0.0,0.0,0.0
Val,rigid,22,0.0,2.340130653921477,10.34105105914526,16.233469018661097,28.076678123731845
Val,affine,27,0.0,1.017719208609147,12.056736567213026,19.083149372014077,33.71352641276734
Val,elastic,27,0.0,0.8425004885727875,3.115891248760392,4.8637352172864,10.032269213656816
Val,affine_elastic,27,0.0,0.6446146626965572,13.878266761460752,22.125597474170792,38.39612370977351
Test,none,7,0.0,0.0,0.0,0.0,0.0
Test,rigid,29,0.0,2.868617815978267,10.517751137469759,16.43716300700912,28.607394661439884
Test,affine,37,0.0,1.2324577724397934,13.398732823449704,21.218270356739332,37.6789135183129
Test,elastic,37,0.0,0.8867331234619905,3.21691722554439,5.018968679004476,10.230172839352743
Test,affine_elastic,37,0.0,0.7264346841933732,13.523346690133387,21.683787256773297,38.43262092188359
